frame ID,frame name,source,destination,format,send method,periods,startbit,length,signal name,offset,factor,unit,minimum,maximum,phy min,phy max,value type,init value,note
0x011,PC_msg1,/,Replayer,Intel,trigger,/,0,16,VolCh1_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道1数值设置
,,,,,,,16,16,VolCh2_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道2数值设置
,,,,,,,32,16,VolCh3_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道3数值设置
,,,,,,,48,16,VolCh4_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道4数值设置
0x012,PC_msg2,/,Replayer,Intel,trigger,/,0,16,VolCh5_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道5数值设置
,,,,,,,16,16,VolCh6_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道6数值设置
,,,,,,,32,16,VolCh7_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道7数值设置
,,,,,,,48,16,VolCh8_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道8数值设置
0x013,PC_msg1,/,Replayer,Intel,trigger,/,0,16,VolCh9_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道9数值设置
,,,,,,,16,16,VolCh10_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道10数值设置
,,,,,,,32,16,VolCh11_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道11数值设置
,,,,,,,48,16,VolCh12_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道12数值设置
0x014,PC_msg2,/,Replayer,Intel,trigger,/,0,16,VolCh13_set_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道13数值设置
,,,,,,,16,8,VolCh_set_active,0,1,,0,255,0,255,Unsigned,0,"电压模拟更新激活;
0-不更新，
1-独立更新，
2-按VolCh1_set_mv同步更新"
,,,,,,,24,8,VolWave_set,0,1,,0,255,0,255,Unsigned,0,"电压波形设置；
0-正弦波形；
1-方波波形；"
,,,,,,,32,8,EmergencyStop ,0,1,,0,255,0,255,Unsigned,0,"所有信号停止输出指令；
0-不停止；
1-停止输出；"
0x15,PC_msg5,/,Replayer,Intel,trigger,/,0,8,TempCh1_set,0,1,,0,255,0,255,Signed,0,"温度值设置：
0-1K电阻；
1-10K电阻；
2-100K电阻"
,,,,,,,8,8,TempCh2_set,0,1,,0,255,0,255,Signed,0,
,,,,,,,16,8,TempCh3_set,0,1,,0,255,0,255,Signed,0,
,,,,,,,24,8,TempCh4_set,0,1,,0,255,0,255,Signed,0,
,,,,,,,32,8,TempCh5_set,0,1,,0,255,0,255,Signed,0,
,,,,,,,40,8,TempCh6_set,0,1,,0,255,0,255,Unsigned,0,
,,,,,,,48,8,TempCh7_set,0,1,,0,255,0,255,Unsigned,0,
,,,,,,,56,8,TempCh_set_active,0,1,,0,255,0,255,Unsigned,0,"温度模拟更新激活;
0-不更新，
1-独立更新，
2-按Temp1Ch1_set同步更新"
0x16,PC_msg6,/,Replayer,Intel,trigger,/,0,8,VolCh1_offset_set_mv,0,1,,-128,127,-128,127,Signed,0,电压通道1偏移设置
,,,,,,,8,8,VolCh2_offset_set_mv,0,1,,-128,127,-128,127,Signed,0,电压通道2偏移设置
,,,,,,,16,8,VolCh3_offset_set_mv,0,1,,-128,127,-128,127,Signed,0,电压通道3偏移设置
,,,,,,,24,8,VolCh4_offset_set_mv,0,1,,-128,127,-128,127,Signed,0,电压通道4偏移设置
